filename,id,sheet,extent,creator,title,county,state,sheet number,titledate,date,pubLocation,publisher,description,scale,subjectGeographic,subjectTopic,note,funder,rights,catalogRecord,holdingInst,collection,url,thumbnail
vic19un1.tif,81024263,keymap/index,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 1,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97201~126156,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19un1.jpg
vic19010.tif,81024263,sh. 10,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 10,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97399~126151,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19010.jpg
vic19011.tif,81024263,sh. 11,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 11,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97421~126152,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19011.jpg
vic19012.tif,81024263,sh. 12,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 12,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97443~126153,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19012.jpg
vic19013.tif,81024263,sh. 13,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 13,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97465~126154,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19013.jpg
vic19014.tif,81024263,sh. 14,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 14,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97487~126155,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19014.jpg
vic19002.tif,81024263,sh. 2,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 2,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97223~126143,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19002.jpg
vic19003.tif,81024263,sh. 3,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 3,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97245~126144,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19003.jpg
vic19004.tif,81024263,sh. 4,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 4,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97267~126145,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19004.jpg
vic19005.tif,81024263,sh. 5,14,Sanborn Map Company,Victor, Teller County, Colorado,sh. 5,1919Victor,1919,New York,"Sanborn Map Company, 1919",1 map on 14 sheets : col. ; sheets 65 x 54 cm,Scale [1:600] 50 ft. to an inch,Victor,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Includes index to streets and special buildings.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Aug. 1919.Also shows various mines and mining camps in area in great detail.Also covers Altman, Independence, and Goldfield.Includes location map.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=7592642,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~97289~126146,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1492/vic19005.jpg
